# Baseball Statistics
## 
### 
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
SHAW 7-0 62 11 39 2.03
PETERSON 3-1 57 17 42 2.05
HIGGINS 3-2 33 17 25 2.45
THE LEADING HITTERS AND PITCHERS:
NAME AB H HR RBI AVG
HAMPTON 20 9 0 3 .450
WILLIAMS 118 51 3 20 .432
NELSON 77 28 2 12 .364
AGUIRRE 103 35 2 16 .340
LUCICH 115 34 1 20 .296
REECE 119 35 2 23 .294
BOONE 125 18 8 29 .280
JOHNSON 67 18 1 7 .269
EDSON 118 30 1 21 .254
LAMOURE 36 5 9 1 .250
PITCHER W-L IP BB SO ERA
CHANGNON 2-1 24 7 15 0.38
KAMMEYER 5-2 57 15 40 1.58
DiPIETRO 6-2 62 15 53 1.74
FROST 1-0 14 2 6 1.93
